date|time|description|vendor|amount|category
2021-01-25|13:10:04|PRESCRIPTION|BESTBUY|1159.56|HEALTH & PERSONAL
2023-10-09|07:38:19|GIFT|TARGET|139.58|HOUSING
2021-11-26|20:54:37|SNACKS|WALMART|1273.04|LIFESTYLE & ENTERTAINMENT
2022-02-01|11:32:44|RENT PAYMENT|APPLE|1099.31|TRANSPORTATION
2021-10-29|00:55:10|GROCERIES|COSTCO|-86.79|TRANSPORTATION
2024-05-03|07:58:06|RENT PAYMENT|AMAZON|-237.99|FOOD
2023-01-26|18:08:31|PRESCRIPTION|WALMART|643.53|HOUSING
2024-09-15|17:27:41|LAPTOP|NETFLIX|-79.61|HOUSING
2024-05-01|23:29:56|RENT PAYMENT|CVS|-221.83|LIFESTYLE & ENTERTAINMENT
2024-04-05|02:45:50|GYM MEMBERSHIP|TARGET|1254.54|MISCELLANEOUS
2022-09-16|14:53:31|PRESCRIPTION|BESTBUY|-561.54|MISCELLANEOUS
2022-07-16|12:58:58|GROCERIES|AMAZON|-525.27|HOUSING
2021-02-10|15:19:10|MOVIE|APPLE|263.71|HEALTH & PERSONAL
2021-03-20|01:54:27|DINNER|APPLE|-790.98|FOOD
2022-04-26|14:26:42|SUBSCRIPTION|APPLE|1425.12|FOOD
2021-06-21|19:00:19|PRESCRIPTION|AMAZON|526.52|HEALTH & PERSONAL
2021-07-22|05:50:12|MOVIE|NETFLIX|-856.79|HOUSING
2022-03-18|06:15:17|LAPTOP|NETFLIX|872.32|HOUSING
2023-04-16|02:41:30|GROCERIES|WALMART|184.95|LIFESTYLE & ENTERTAINMENT
2023-10-23|08:44:58|SUBSCRIPTION|DOORDASH|-1119.53|HOUSING
2022-04-15|06:58:58|MOVIE|SHELL|1056.76|HOUSING
2021-10-12|08:44:17|MOVIE|APPLE|-878.32|HOUSING
2024-10-14|08:46:57|SUBSCRIPTION|COSTCO|1000.11|MISCELLANEOUS
2022-05-17|09:31:02|LAPTOP|NETFLIX|-1307.67|MISCELLANEOUS
2021-06-25|08:17:42|PHONE BILL|WALMART|-256.21|MISCELLANEOUS
2022-04-18|01:46:18|DINNER|TARGET|-872.31|HEALTH & PERSONAL
2022-08-10|05:31:51|GIFT|COSTCO|-298.4|HEALTH & PERSONAL
2023-11-20|10:16:40|GROCERIES|TARGET|-1436.31|TRANSPORTATION
2023-09-03|23:14:03|GROCERIES|TARGET|-518.63|MISCELLANEOUS
2023-01-05|22:37:58|MOVIE|BESTBUY|-1424.44|LIFESTYLE & ENTERTAINMENT
2024-03-29|05:59:06|PRESCRIPTION|AMAZON|-506.71|TRANSPORTATION
2021-10-10|05:21:45|SUBSCRIPTION|WALMART|31.04|FOOD
2024-01-26|20:46:12|GASOLINE|NETFLIX|1422.31|HEALTH & PERSONAL
2024-03-04|23:13:07|SNACKS|APPLE|1077.81|MISCELLANEOUS
2023-08-13|13:17:06|RENT PAYMENT|COSTCO|485.8|TRANSPORTATION
2023-05-16|09:20:55|SUBSCRIPTION|TARGET|1079.13|HEALTH & PERSONAL
2024-05-05|23:46:24|GASOLINE|DOORDASH|329.46|MISCELLANEOUS
2022-08-30|17:53:26|SNACKS|APPLE|-744.82|TRANSPORTATION
2021-08-23|23:53:14|LAPTOP|AMAZON|651.82|HEALTH & PERSONAL
2024-07-28|00:46:15|GIFT|BESTBUY|582.97|HEALTH & PERSONAL
2022-09-24|21:22:14|SUBSCRIPTION|DOORDASH|91.32|HOUSING
2024-12-19|18:57:04|MOVIE|DOORDASH|1036.49|FOOD
2023-10-18|11:06:09|PRESCRIPTION|CVS|598.69|HOUSING
2021-08-27|07:03:02|GYM MEMBERSHIP|BESTBUY|707.48|HOUSING
2023-01-31|21:41:57|DINNER|CVS|973.91|TRANSPORTATION
2024-11-30|03:41:30|GROCERIES|DOORDASH|-46.6|HOUSING
2021-01-19|20:10:53|PRESCRIPTION|DOORDASH|1323.43|LIFESTYLE & ENTERTAINMENT
2022-11-24|03:05:39|RENT PAYMENT|NETFLIX|405.46|MISCELLANEOUS
2022-04-08|04:07:53|GROCERIES|SHELL|339.2|TRANSPORTATION
2021-07-05|05:49:12|RENT PAYMENT|DOORDASH|401.59|HEALTH & PERSONAL
